ts,symbol,combo,event,direction,close,ema21,adx14,vol_ratio,regime
2023-09-01,AAPL,A,hammer_entry,LONG,189.48,182.87623064764895,30.87701318694847,0.7391593658263372,corrective
2023-10-11,AAPL,A,hammer_entry,LONG,179.77,176.38473445293192,20.576394247815067,0.7408157815917085,corrective
2023-11-08,AAPL,A,hammer_entry,LONG,182.89,175.97166640477855,19.421432099280416,0.7068308669694707,trending
2023-12-08,AAPL,A,hammer_entry,LONG,195.69,189.1466058890183,34.00137895720489,0.9428315439970172,trending
2024-05-03,AAPL,A,hammer_entry,LONG,183.36,171.52114610631077,15.08013092238117,3.3646733163896547,corrective
2024-06-05,AAPL,A,hammer_entry,LONG,195.87,188.53290149111655,34.85234155765668,1.1800461428431999,corrective
2024-06-11,AAPL,A,hammer_entry,LONG,207.15,191.63719451616458,35.97255844493956,3.1786709527506685,corrective
2024-07-03,AAPL,A,hammer_entry,LONG,221.53,208.85650009642632,46.79152708323923,0.46194861936506804,trending
2024-12-02,AAPL,A,hammer_entry,LONG,239.635,230.90824108977435,15.562481408387136,0.9176320751681784,corrective
2024-12-17,AAPL,A,hammer_entry,LONG,253.5,241.7642199533874,38.483454105588635,1.812064947715967,corrective
2024-12-20,AAPL,A,hammer_entry,LONG,254.6,244.05418478842026,40.93375037641702,1.3844862538776708,corrective
2025-07-01,AAPL,A,hammer_entry,LONG,207.815,201.742605552615,15.785341209137064,1.686097017328224,corrective
2025-08-07,AAPL,A,hammer_entry,LONG,220.17,209.81497029956466,21.103724872916352,2.125954492355242,trending
2025-09-04,AAPL,A,hammer_entry,LONG,239.71,228.15837852332038,29.56351453868842,1.0782897332443766,corrective
2025-09-19,AAPL,A,hammer_entry,LONG,245.32,233.95383619819424,24.092265652173907,1.238278792585404,trending
2025-10-20,AAPL,A,hammer_entry,LONG,262.245,250.6459964806048,25.818584328136033,2.091001864736485,corrective
2025-10-27,AAPL,A,hammer_entry,LONG,268.75,255.2465318319071,25.38281323741926,1.3369070282239996,corrective
2025-12-01,AAPL,A,hammer_entry,LONG,283.17,271.8314420951415,31.71041876790335,0.9984342501134652,corrective
2026-02-04,AAPL,A,hammer_entry,LONG,276.41,262.1545308611318,26.421797210467435,1.4938702523768606,corrective
2023-08-30,ADBE,A,hammer_entry,LONG,545.59,523.4220044084675,23.158696274997148,0.9797896146459218,corrective
2023-10-12,ADBE,A,hammer_entry,LONG,559.64,529.4927233557958,19.422308037755975,2.074457695384068,corrective
2023-11-07,ADBE,A,hammer_entry,LONG,585.56,544.918357526586,20.730964739050947,1.453767616819579,trending
2023-12-12,ADBE,A,hammer_entry,LONG,633.53,605.2884974794131,32.52477044256518,1.135932135534824,trending
2024-01-29,ADBE,A,hammer_entry,LONG,630.395,602.5724655648031,16.830053649418918,1.431230647694976,trending
2024-05-06,ADBE,A,hammer_entry,LONG,493.59,482.1627650808495,32.74280813735483,0.5037583546538149,corrective
2024-06-14,ADBE,A,hammer_entry,LONG,525.37,470.6090667710452,25.005112036989757,3.4404858756085686,corrective
2024-06-27,ADBE,A,hammer_entry,LONG,547.0,502.02750057742884,27.59091300083454,0.9395535392673215,trending
2024-08-19,ADBE,A,hammer_entry,LONG,563.01,540.7776505363984,17.191294970003295,0.6275484901554562,trending
2024-11-12,ADBE,A,hammer_entry,LONG,526.45,497.984015194089,29.119283288739457,1.7544086327626702,corrective
2024-12-06,ADBE,A,hammer_entry,LONG,552.72,517.9277893506514,22.991971539248414,0.9067764931979713,corrective
2025-02-10,ADBE,A,hammer_entry,LONG,451.03,439.47551258769636,19.930668337307328,0.6353490441065686,corrective
2025-05-02,ADBE,A,hammer_entry,LONG,380.69,367.82166495949235,23.445565824947824,0.44393482238250925,corrective
2025-05-12,ADBE,A,hammer_entry,LONG,395.825,375.72489281175876,18.304396292495376,1.0452892905370312,corrective
2025-09-18,ADBE,A,hammer_entry,LONG,367.48,354.39229819137154,17.854330534372185,0.9211330616091693,trending
2025-12-05,ADBE,A,hammer_entry,LONG,346.305,328.6424681228673,23.80558718990361,3.392842828423284,corrective
2025-12-11,ADBE,A,hammer_entry,LONG,350.37,333.7408067228108,25.788294619478684,2.0836819900854033,corrective
2023-11-03,AMD,A,hammer_entry,LONG,112.23,102.98709203959237,19.06678623423384,1.0198634746289132,trending
2023-12-07,AMD,A,hammer_entry,LONG,128.33,118.65633339833634,29.394141633577448,2.7157516041394683,trending
2023-12-27,AMD,A,hammer_entry,LONG,146.14,133.51965213353913,45.131251332514225,0.7676865009804987,trending
2024-01-16,AMD,A,hammer_entry,LONG,158.7,142.30954607002303,37.49483243817171,1.6486418871386082,trending
2024-02-29,AMD,A,hammer_entry,LONG,192.5,174.02692878458996,27.092875938679242,1.2813833731556237,trending
2024-05-16,AMD,A,hammer_entry,LONG,162.685,156.6277894894363,21.77244080561822,1.6777051243497894,corrective
2024-07-10,AMD,A,hammer_entry,LONG,183.9,166.52867833975088,17.112158424992884,0.8631155392522166,trending
2024-09-25,AMD,A,hammer_entry,LONG,162.06,151.2124370234945,16.053214278424417,1.2111173622114955,corrective
2024-10-04,AMD,A,hammer_entry,LONG,170.86,157.57686098176816,20.904309132127914,1.6793265897890777,corrective
2025-03-25,AMD,A,hammer_entry,LONG,114.865,106.39459192364285,24.368319735893735,1.1865906303882667,corrective
2025-05-05,AMD,A,hammer_entry,LONG,100.6,95.56365331628595,17.157167182621073,0.6067039206546389,corrective
2025-05-12,AMD,A,hammer_entry,LONG,108.16,98.2841894283711,16.252563132969254,1.4097330914724668,corrective
