ts,symbol,combo,event,direction,close,ema21,adx14,vol_ratio,regime
2024-12-03,AAPL,A,hammer_entry,LONG,308.4397827315801,277.97193049921407,18.738052078551068,0.9558238467779501,trending
2024-12-13,AAPL,A,hammer_entry,LONG,328.33605062757994,296.958185349954,28.075096317069924,0.9724506446048578,trending
2024-12-20,AAPL,A,hammer_entry,LONG,345.4145956345938,308.99752989822025,34.37058709658075,0.938537681267102,corrective
2025-01-06,AAPL,A,hammer_entry,LONG,419.46916721482575,363.84337152186623,50.44292279490386,1.0115301122683436,corrective
2025-02-06,AAPL,A,hammer_entry,LONG,494.24876283741054,449.96036591335627,40.84012952057267,1.0075721765567927,trending
2025-02-20,AAPL,A,hammer_entry,LONG,512.5128983305576,478.55993745152233,38.79325071469071,1.0438797231048473,trending
2025-02-28,AAPL,A,hammer_entry,LONG,618.0387234536661,519.5070630051875,47.560701618133,0.9662662726017373,trending
2025-03-12,AAPL,A,hammer_entry,LONG,719.4941288573452,600.1441717038556,60.408000603050596,0.9910499729676947,trending
2025-04-01,AAPL,A,hammer_entry,LONG,737.5706525269493,669.1822789850441,41.78174389343829,0.9594216520412322,trending
2025-06-12,AAPL,A,hammer_entry,LONG,786.3026623590486,735.6081793269417,16.307857766351017,1.017975213312181,trending
2025-07-04,AAPL,A,hammer_entry,LONG,948.8640563225201,840.1735836425424,47.998958496443485,0.9825459139511037,trending
2025-07-29,AAPL,A,hammer_entry,LONG,1127.1914847379148,998.552859285378,64.15207428904041,1.0095878996303793,corrective
2025-08-06,AAPL,A,hammer_entry,LONG,1152.501913293949,1039.64371253143,55.59916186665078,0.972472092096797,corrective
2025-08-15,AAPL,A,hammer_entry,LONG,1394.0794362636966,1143.412044575372,58.37986664274144,0.9858260542066231,corrective
2025-09-24,AAPL,A,hammer_entry,LONG,1424.2615666478819,1297.6113058612425,24.477219812179168,1.0198896736759882,trending
2025-10-16,AAPL,A,hammer_entry,LONG,1516.1418692022905,1324.840304091155,18.821717461959018,0.9542081628906106,trending
2025-11-19,AAPL,A,hammer_entry,LONG,1643.5970137532477,1521.8406053459023,40.57401024871654,1.0644728942482726,corrective
2025-12-04,AAPL,A,hammer_entry,LONG,1993.5858275416397,1725.3646372269482,55.252532908706584,0.9914056492582274,corrective
