trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,C,LONG,2023-05-12 10:00:00-04:00,28.42,0.12203421500185543,2023-05-12 10:15:00-04:00,28.424204999999997,43.9766,28.3022,50.0,4999.0,2023-05-12 10:30:00-04:00,28.288,SL,-5.989,1.0,-6.989,-0.001398,False,all
2,NVDA,C,SHORT,2023-05-30 10:00:00-04:00,40.92,0.4415742702476549,2023-05-30 10:15:00-04:00,40.869555000000005,30.5362,41.3111,49.92,4991.01,2023-05-30 10:15:00-04:00,41.3318,SL,-14.1148,1.0,-15.1148,-0.003028,False,all
3,NVDA,C,SHORT,2023-06-01 09:45:00-04:00,39.18,0.37862442148514475,2023-06-01 10:00:00-04:00,39.150415,31.7742,39.529,49.76,4974.9,2023-06-01 10:15:00-04:00,38.7783,TP,11.824,1.0,10.824,0.002176,True,all
4,NVDA,C,LONG,2023-06-05 09:45:00-04:00,38.94,0.24290248743109127,2023-06-05 10:00:00-04:00,38.999489999999994,31.9602,38.7566,49.86,4984.72,2023-06-05 11:15:00-04:00,39.3103,BB_MID,9.9347,1.0,8.9347,0.001792,True,all
5,NVDA,C,LONG,2023-06-22 15:15:00-04:00,42.72,0.2077834749067391,2023-06-22 15:30:00-04:00,42.681329999999996,29.2496,42.4735,49.94,4992.65,2023-06-22 15:45:00-04:00,42.9985,EOD,9.2768,1.0,8.2768,0.001658,True,all
6,NVDA,C,LONG,2023-06-23 09:30:00-04:00,42.36,0.24597678366257522,2023-06-23 09:45:00-04:00,42.371175,29.5067,42.1252,50.01,4999.93,2023-06-23 09:45:00-04:00,42.1041,SL,-7.8794,1.0,-8.8794,-0.001776,False,all
7,NVDA,C,SHORT,2023-06-27 12:00:00-04:00,41.28,0.2603146269899424,2023-06-27 12:15:00-04:00,41.25936,30.2419,41.5197,49.91,4990.05,2023-06-27 13:15:00-04:00,41.5404,SL,-8.5002,1.0,-9.5002,-0.001904,False,all
8,NVDA,C,LONG,2023-06-29 10:00:00-04:00,40.78,0.26608497887263044,2023-06-29 10:15:00-04:00,40.830405,30.4954,40.5643,49.81,4979.55,2023-06-29 11:00:00-04:00,41.1294,BB_MID,9.1187,1.0,8.1187,0.00163,True,all
9,NVDA,C,SHORT,2023-07-18 11:30:00-04:00,46.64,0.28588722369402764,2023-07-18 11:45:00-04:00,46.626675,26.7426,46.9126,49.88,4986.67,2023-07-18 11:45:00-04:00,46.936,SL,-8.2726,1.0,-9.2726,-0.001859,False,all
10,NVDA,C,SHORT,2023-07-27 09:30:00-04:00,46.82,0.35492275268320256,2023-07-27 09:45:00-04:00,46.806585,26.5849,47.1615,49.77,4976.4,2023-07-27 11:00:00-04:00,46.7234,TIME,2.2128,1.0,1.2128,0.000244,True,all
11,NVDA,C,SHORT,2023-08-03 09:45:00-04:00,44.8,0.31055359738835364,2023-08-03 10:00:00-04:00,44.79759,27.7783,45.1081,49.78,4976.61,2023-08-03 10:15:00-04:00,44.3718,TP,11.828,1.0,10.828,0.002176,True,all
