trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period,regime_at_entry,spy_adx_at_entry,spy_trending_at_entry,bb_mid_at_entry,entry_to_mid_dist
1,AAPL,A,LONG,2023-09-01,189.48,3.1154953871380817,2023-09-05,188.364135,0.3982,185.2486,12.5,1249.0,2023-09-06,185.156,SL,2,-1.2774,1.0,-2.2774,-0.001823,False,all,corrective,20.46,False,0.0,0.0
2,AAPL,A,LONG,2023-10-11,179.77,3.289594884206833,2023-10-12,180.11001,0.4153,176.8204,12.47,1245.72,2023-10-16,176.732,SL,3,-1.403,1.0,-2.403,-0.001929,False,all,corrective,23.47,False,0.0,0.0
3,AAPL,A,LONG,2023-11-08,182.89,3.2460052163299014,2023-11-09,183.021465,0.4076,179.7755,12.43,1242.32,2023-12-05,192.6631,TP,18,3.9299,1.0,2.9299,0.002358,True,all,trending,25.43,True,0.0,0.0
4,AAPL,A,LONG,2023-12-08,195.69,2.7592446619050754,2023-12-11,193.19154749999998,0.3867,190.4323,12.45,1244.25,2024-01-02,190.3371,SL,15,-1.1039,1.0,-2.1039,-0.001691,False,all,trending,40.68,True,0.0,0.0
5,AAPL,A,LONG,2024-05-03,183.36,4.186626931638487,2024-05-06,182.47118999999998,0.4084,178.2846,12.42,1241.15,2024-06-03,193.893,TIME,20,4.6651,1.0,3.6651,0.002953,True,all,corrective,22.52,False,0.0,0.0
6,AAPL,A,LONG,2024-06-05,195.87,2.986714066511804,2024-06-06,195.81786,0.3814,192.8311,12.45,1243.81,2024-06-10,192.7347,SL,3,-1.176,1.0,-2.176,-0.001749,False,all,corrective,17.14,False,0.0,0.0
7,AAPL,A,LONG,2024-06-11,207.15,3.854486033258112,2024-06-12,207.48869249999998,0.359,203.6342,12.42,1240.63,2024-07-02,218.9426,TP,14,4.1125,1.0,3.1125,0.002509,True,all,corrective,17.3,False,0.0,0.0
8,AAPL,A,LONG,2024-07-03,221.53,4.752212831078981,2024-07-05,221.8158525,0.3364,217.0636,12.44,1242.75,2024-07-25,216.9551,SL,15,-1.6353,1.0,-2.6353,-0.002121,False,all,trending,37.22,True,0.0,0.0
9,AAPL,A,LONG,2024-12-02,239.635,3.647377360126071,2024-12-03,240.01995,0.31,236.3726,12.4,1239.11,2024-12-16,250.8366,TP,10,3.3532,1.0,2.3532,0.001899,True,all,corrective,20.57,False,0.0,0.0
10,AAPL,A,LONG,2024-12-17,253.5,3.546983100687182,2024-12-18,252.34610999999998,0.2952,248.7991,12.41,1240.47,2024-12-18,248.6747,SL,1,-1.0837,1.0,-2.0837,-0.00168,False,all,corrective,21.8,False,0.0,0.0
