trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,C,LONG,2024-04-16 11:15:00-04:00,806.228194929571,5.981508981027089,2024-04-16 11:30:00-04:00,806.6313090270357,1.5497,800.6498,50.0,4999.0,2024-04-16 11:30:00-04:00,800.2495,SL,-9.8896,1.0,-10.8896,-0.002178,False,all
2,NVDA,C,SHORT,2024-05-02 09:45:00-04:00,836.0354939101693,6.394736254482752,2024-05-02 10:00:00-04:00,835.6174761632143,1.4923,842.0122,49.88,4987.11,2024-05-02 10:15:00-04:00,842.4332,SL,-10.1714,1.0,-11.1714,-0.00224,False,all
3,NVDA,C,SHORT,2024-05-03 13:00:00-04:00,866.7824922704291,6.266552264294846,2024-05-03 13:15:00-04:00,866.3491010242939,1.4359,872.6157,49.76,4974.94,2024-05-03 13:30:00-04:00,873.052,SL,-9.6246,1.0,-10.6246,-0.002136,False,all
4,NVDA,C,SHORT,2024-05-17 12:45:00-04:00,857.0985807583326,6.255566551358885,2024-05-17 13:00:00-04:00,856.6700314679534,1.4487,862.9256,49.64,4963.31,2024-05-17 13:30:00-04:00,852.8129,TP,5.588,1.0,4.588,0.000924,True,all
5,NVDA,C,LONG,2024-06-11 09:45:00-04:00,1001.6328564596025,7.442247218082931,2024-06-11 10:00:00-04:00,1002.1336728878323,1.2393,994.6914,49.68,4966.9,2024-06-11 10:00:00-04:00,994.1941,SL,-9.8398,1.0,-10.8398,-0.002182,False,all
6,NVDA,C,SHORT,2024-06-26 15:00:00-04:00,1085.235519600532,7.020272578453378,2024-06-26 15:15:00-04:00,1084.6929018407318,1.1423,1091.7132,49.56,4955.06,2024-06-26 15:45:00-04:00,1082.8956,TIME,2.0531,1.0,1.0531,0.000213,True,all
7,NVDA,C,SHORT,2024-06-27 09:45:00-04:00,1098.5462474597787,7.159040214583031,2024-06-27 10:00:00-04:00,1097.9969743360489,1.1284,1105.156,49.56,4955.12,2024-06-27 10:30:00-04:00,1093.0532,TP,5.5787,1.0,4.5787,0.000924,True,all
8,NVDA,C,SHORT,2024-07-11 14:00:00-04:00,1383.9902471441853,11.387273806099085,2024-07-11 14:15:00-04:00,1383.2982520206133,0.8964,1394.6855,49.6,4958.69,2024-07-11 14:30:00-04:00,1395.3829,SL,-10.8321,1.0,-11.8321,-0.002386,False,all
9,NVDA,C,LONG,2024-07-23 12:15:00-04:00,1377.1846983598036,10.966923312846033,2024-07-23 12:30:00-04:00,1377.8732907089834,0.8976,1366.9064,49.47,4945.86,2024-07-23 12:30:00-04:00,1384.0703,TP,5.5621,1.0,4.5621,0.000922,True,all
10,NVDA,C,SHORT,2024-08-09 13:15:00-04:00,1400.6784090706426,12.909866419336094,2024-08-09 13:30:00-04:00,1399.9780698661073,0.884,1412.8879,49.5,4949.42,2024-08-09 13:30:00-04:00,1413.5944,SL,-12.0371,1.0,-13.0371,-0.002634,False,all
11,NVDA,C,SHORT,2024-08-28 11:15:00-04:00,1196.7953613750458,7.9616292819500885,2024-08-28 11:30:00-04:00,1196.1969636943584,1.0317,1204.1586,49.36,4935.39,2024-08-28 11:45:00-04:00,1190.8111,TP,5.5565,1.0,4.5565,0.000923,True,all
12,NVDA,C,SHORT,2024-08-28 15:45:00-04:00,1210.6570825782132,8.892740327205379,2024-08-29 09:30:00-04:00,1210.0517540369242,1.0206,1218.9445,49.4,4938.94,2024-08-29 10:00:00-04:00,1211.395,TIME,-1.371,1.0,-2.371,-0.00048,False,all
13,NVDA,C,SHORT,2024-08-29 12:45:00-04:00,1223.093732301489,8.563384014007985,2024-08-29 13:00:00-04:00,1222.4821854353381,1.0095,1231.0456,49.37,4935.57,2024-08-29 13:00:00-04:00,1216.978,TP,5.5567,1.0,4.5567,0.000923,True,all
14,NVDA,C,SHORT,2024-09-18 12:15:00-04:00,1179.6842058692962,8.659675990301702,2024-09-18 12:30:00-04:00,1179.0943637663615,1.0474,1187.754,49.4,4939.13,2024-09-18 13:00:00-04:00,1187.3205,TIME,-8.6164,1.0,-9.6164,-0.001947,False,all
15,NVDA,C,LONG,2024-09-23 15:30:00-04:00,1162.1374226650726,7.138284396938113,2024-09-23 15:45:00-04:00,1162.718491376405,1.0599,1155.5802,49.3,4928.51,2024-09-23 15:45:00-04:00,1155.0024,SL,-8.1784,1.0,-9.1784,-0.001862,False,all
16,NVDA,C,LONG,2024-10-25 13:45:00-04:00,1059.6905326229005,8.09238531568949,2024-10-25 14:00:00-04:00,1060.220377889212,1.16,1052.128,49.19,4918.33,2024-10-25 14:30:00-04:00,1064.9887,TP,5.5312,1.0,4.5312,0.000921,True,all
17,NVDA,C,SHORT,2024-10-28 14:00:00-04:00,1123.815459705714,9.497106543276015,2024-10-28 14:15:00-04:00,1123.2535519758612,1.0957,1132.7507,49.23,4921.87,2024-10-28 14:30:00-04:00,1133.317,SL,-11.0263,1.0,-12.0263,-0.002443,False,all
18,NVDA,C,LONG,2024-10-29 12:45:00-04:00,1132.2232789228963,9.830728017476861,2024-10-29 13:00:00-04:00,1132.7893905623578,1.0836,1122.9587,49.1,4908.84,2024-10-29 13:30:00-04:00,1137.8841,TP,5.5205,1.0,4.5205,0.000921,True,all
19,NVDA,C,SHORT,2024-11-06 10:00:00-05:00,1131.6602505299597,8.163070227515538,2024-11-06 10:15:00-05:00,1131.0944204046948,1.086,1139.2575,49.13,4912.36,2024-11-06 10:45:00-05:00,1126.7849,TIME,4.6801,1.0,3.6801,0.000749,True,all
20,NVDA,C,LONG,2024-11-08 15:00:00-05:00,1042.342597081415,8.265937641889252,2024-11-08 15:15:00-05:00,1042.8637683799557,1.1785,1034.5978,49.16,4915.04,2024-11-08 15:45:00-05:00,1036.3353,TIME,-7.6937,1.0,-8.6937,-0.001769,False,all
21,NVDA,C,SHORT,2024-11-12 14:00:00-05:00,1029.2706731756496,8.559845065754175,2024-11-12 14:15:00-05:00,1028.7560378390617,1.1923,1037.3159,49.06,4905.35,2024-11-12 14:30:00-05:00,1037.8345,SL,-10.8243,1.0,-11.8243,-0.00241,False,all
22,NVDA,C,SHORT,2024-11-18 10:45:00-05:00,1079.215379295818,8.058186223094962,2024-11-18 11:00:00-05:00,1078.67577160617,1.1342,1086.734,48.94,4892.52,2024-11-18 11:00:00-05:00,1073.819,TP,5.5083,1.0,4.5083,0.000921,True,all
23,NVDA,C,SHORT,2024-11-20 12:15:00-05:00,1119.0677448225188,8.030444242003218,2024-11-20 12:30:00-05:00,1118.5082109501075,1.0945,1126.5387,48.97,4896.03,2024-11-20 12:45:00-05:00,1113.4721,TP,5.5122,1.0,4.5122,0.000922,True,all
24,NVDA,C,LONG,2024-11-26 13:45:00-05:00,1112.8956959275092,8.60326622633618,2024-11-26 14:00:00-05:00,1113.452143775473,1.1003,1104.8489,49.01,4899.54,2024-11-26 14:30:00-05:00,1111.9136,TIME,-1.6929,1.0,-2.6929,-0.00055,False,all
25,NVDA,C,SHORT,2024-11-28 12:30:00-05:00,1164.0815442146486,8.916181850342573,2024-11-28 12:45:00-05:00,1163.4995034425413,1.0522,1172.4157,48.97,4895.85,2024-11-28 12:45:00-05:00,1173.0019,SL,-9.9982,1.0,-10.9982,-0.002246,False,all
26,NVDA,C,SHORT,2024-11-28 13:00:00-05:00,1171.7159813454844,8.777417616858889,2024-11-28 13:15:00-05:00,1171.1301233548118,1.0428,1179.9075,48.85,4883.85,2024-11-28 13:45:00-05:00,1171.4255,TIME,-0.308,1.0,-1.308,-0.000268,False,all
27,NVDA,C,LONG,2024-11-29 11:00:00-05:00,1135.62299640681,9.17881943014225,2024-11-29 11:15:00-05:00,1136.1908079050133,1.0743,1127.012,48.83,4881.54,2024-11-29 11:15:00-05:00,1141.3008,TP,5.4898,1.0,4.4898,0.00092,True,all
