ts,symbol,combo,event,direction,close,ema21,bars_in_window,close_above_ema21,vol_gate,adx_gate,vol_ratio,adx14,ema50
2023-09-07,NVDA,A,trigger_armed,LONG,46.24,46.52843990902962,,,,,,,
2023-09-08,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.7662456297588728,19.01375222989636,
2023-09-11,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,0.7194111753944561,18.03958720533328,
2023-09-12,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,False,0.45988307797758593,17.13500539681042,
2023-09-13,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,False,0.5843386081275497,16.123886221495013,
2023-09-14,NVDA,A,window_bar_no_confirm,LONG,,,5.0,False,False,False,0.5445672228810046,15.165741276579665,
2023-09-15,NVDA,A,ema50_break_in_window,LONG,43.88,,6.0,,,,,,44.54022535436857
2023-11-30,NVDA,A,trigger_armed,LONG,46.77,47.33594299228891,,,,,,,
2023-12-01,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.8995548684951531,19.611158519068628,
2023-12-04,NVDA,A,ema50_break_in_window,LONG,45.5,,2.0,,,,,,45.96188127709393
2024-01-02,NVDA,A,trigger_armed,LONG,48.2,48.44234298954728,,,,,,,
2024-01-03,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.989039734706009,14.97176373644047,
2024-01-04,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,0.7905084288382872,14.255838862060248,
2024-01-05,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,False,False,1.0857334582403426,13.899848544066824,
2024-01-08,NVDA,A,window_bar_no_confirm,LONG,,,4.0,True,True,False,1.949263817432094,15.347031463761954,
2024-01-09,NVDA,A,window_bar_no_confirm,LONG,,,5.0,True,True,False,1.5577182277736985,17.543835106625018,
2024-01-10,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2024-04-04,NVDA,A,trigger_armed,LONG,85.9,87.96506383550043,,,,,,,
2024-04-05,NVDA,A,window_bar_no_confirm,LONG,,,1.0,True,False,True,0.9122975890599923,41.4044927316904,
2024-04-08,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,0.4375549436836792,39.507347998460894,
2024-04-09,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,0.9134665262032103,36.92696784161215,
2024-04-10,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,True,0.9216832351729939,34.53090055310974,
2024-04-11,NVDA,A,window_bar_no_confirm,LONG,,,5.0,True,False,True,1.0394065970136872,32.8701084257038,
2024-04-12,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2024-04-15,NVDA,A,trigger_armed,LONG,85.99,87.73266088982356,,,,,,,
2024-04-16,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,0.7559327044532237,27.44658743388403,
2024-04-17,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,True,True,1.8255547558579928,26.01391797318044,
2024-04-18,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,1.0975637952217552,25.17275118255682,
2024-04-19,NVDA,A,ema50_break_in_window,LONG,76.2,,4.0,,,,,,81.92882128596155
2024-06-24,NVDA,A,trigger_armed,LONG,118.08,119.41564450473697,,,,,,,
2024-06-25,NVDA,A,window_bar_no_confirm,LONG,,,1.0,True,False,True,0.8246797707475452,48.43589101496941,
2024-06-26,NVDA,A,window_bar_no_confirm,LONG,,,2.0,True,False,True,0.5170661206792726,47.50879741127988,
2024-06-27,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,False,True,0.4665662708637607,46.64792477928246,
2024-06-28,NVDA,A,window_bar_no_confirm,LONG,,,4.0,True,False,True,0.6824638739285859,46.023532468366945,
2024-07-01,NVDA,A,window_bar_no_confirm,LONG,,,5.0,True,False,True,0.6042439691529963,44.36282296213292,
2024-07-02,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2024-07-17,NVDA,A,trigger_armed,LONG,117.97,125.04330767796066,,,,,,,
2024-07-18,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,0.7300243740746281,32.814377607666884,
2024-07-19,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,0.5163316003484718,31.11947457284951,
2024-07-22,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,0.8506251043843924,28.94188160120189,
2024-07-23,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,True,0.5906641498821245,26.97512527412933,
2024-07-24,NVDA,A,ema50_break_in_window,LONG,114.37,,5.0,,,,,,116.83886339203599
2024-10-31,NVDA,A,trigger_armed,LONG,132.81,135.11232037586547,,,,,,,
2024-11-01,NVDA,A,window_bar_no_confirm,LONG,,,1.0,True,False,False,0.8893760672653634,19.37420744209044,
2024-11-04,NVDA,A,window_bar_no_confirm,LONG,,,2.0,True,False,False,0.6720396679371989,18.115131148561215,
2024-11-05,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,False,False,0.5060002436000948,17.272064539619667,
2024-11-06,NVDA,A,window_bar_no_confirm,LONG,,,4.0,True,False,False,1.0994022467423876,17.683256501763857,
2024-11-07,NVDA,A,window_bar_no_confirm,LONG,,,5.0,True,False,False,0.8523503184466494,18.45481483585045,
2024-11-08,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2024-11-18,NVDA,A,trigger_armed,LONG,140.13,141.14428235083037,,,,,,,
2024-11-19,NVDA,A,window_bar_no_confirm,LONG,,,1.0,True,False,False,1.1852557265894814,17.037930480043357,
2024-11-20,NVDA,A,window_bar_no_confirm,LONG,,,2.0,True,False,False,1.3156259705708122,16.407511221099256,
2024-11-21,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,True,False,2.0614783627660302,16.814979479838843,
2024-11-22,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,False,1.2453145090794213,17.193342862954175,
2024-11-25,NVDA,A,window_bar_no_confirm,LONG,,,5.0,False,False,False,1.341181479515049,16.28040917731771,
2024-11-26,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2024-12-09,NVDA,A,trigger_armed,LONG,138.81,141.105257663541,,,,,,,
2024-12-10,NVDA,A,ema50_break_in_window,LONG,134.99,,1.0,,,,,,137.09232974457777
2025-03-24,NVDA,A,trigger_armed,SHORT,121.24,120.34254921789585,,,,,,,
2025-03-25,NVDA,A,window_bar_no_confirm,SHORT,,,1.0,False,False,False,0.6227550916343488,20.576745632870725,
2025-03-26,NVDA,A,window_bar_no_confirm,SHORT,,,2.0,True,False,False,1.350726082167383,20.724683720080513,
