trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,A,LONG,2023-05-10 09:30:00-04:00,28.79,0.12076255440144193,2023-05-10 09:45:00-04:00,28.824405,43.366,28.7036,50.0,4999.0,2023-05-10 10:45:00-04:00,28.6893,SL,-5.8594,1.0,-6.8594,-0.001372,False,all
2,NVDA,A,LONG,2023-05-16 09:30:00-04:00,29.14,0.09825148101152803,2023-05-16 09:45:00-04:00,29.164574999999996,42.7928,29.0663,49.92,4991.14,2023-05-16 11:00:00-04:00,29.3854,TP,9.4503,1.0,8.4503,0.001693,True,all
3,NVDA,A,LONG,2023-05-22 10:15:00-04:00,31.41,0.20082651689978734,2023-05-22 10:30:00-04:00,31.445714999999996,39.7478,31.2449,50.0,4998.59,2023-05-22 11:30:00-04:00,31.2293,SL,-8.6034,1.0,-9.6034,-0.001921,False,all
4,NVDA,A,LONG,2023-05-30 09:30:00-04:00,41.41,0.39886720099727974,2023-05-30 09:45:00-04:00,41.460719999999995,30.0826,41.0619,49.89,4987.99,2023-05-30 09:45:00-04:00,41.0413,SL,-12.6166,1.0,-13.6166,-0.00273,False,all
5,NVDA,A,LONG,2023-06-09 09:30:00-04:00,39.29,0.21766403438936172,2023-06-09 09:45:00-04:00,39.349664999999995,31.6036,39.132,49.74,4973.37,2023-06-09 10:30:00-04:00,39.1124,SL,-7.4973,1.0,-8.4973,-0.001709,False,all
6,NVDA,A,LONG,2023-06-14 09:45:00-04:00,41.37,0.3061542667559,2023-06-14 10:00:00-04:00,41.370675,30.0024,41.0645,49.65,4963.87,2023-06-14 11:00:00-04:00,41.9468,TP,17.2858,1.0,16.2858,0.003281,True,all
7,NVDA,A,LONG,2023-06-14 15:15:00-04:00,42.48,0.28598867105794984,2023-06-14 15:30:00-04:00,42.511245,29.2873,42.2253,49.8,4979.16,2023-06-14 15:45:00-04:00,42.9585,EOD,13.0992,1.0,12.0992,0.00243,True,all
8,NVDA,A,LONG,2023-06-16 10:15:00-04:00,43.65,0.3101998781596098,2023-06-16 10:30:00-04:00,43.631805,28.5987,43.3216,49.91,4990.26,2023-06-16 10:45:00-04:00,43.2999,SL,-9.4908,1.0,-10.4908,-0.002102,False,all
9,NVDA,A,LONG,2023-06-16 12:00:00-04:00,43.64,0.2960119490771902,2023-06-16 12:15:00-04:00,43.611795,28.546,43.3158,49.8,4978.77,2023-06-16 14:00:00-04:00,43.2941,SL,-9.0682,1.0,-10.0682,-0.002022,False,all
10,NVDA,A,LONG,2023-06-22 10:15:00-04:00,43.28,0.2797958316221287,2023-06-22 10:30:00-04:00,43.241609999999994,28.7264,42.9618,49.69,4967.7,2023-06-22 10:30:00-04:00,42.9403,SL,-8.6546,1.0,-9.6546,-0.001943,False,all
